R,G,B,T
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,133,298
1,1,108,298
1,1,55,298
1,1,134,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,119,298
1,1,48,298
1,1,131,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
1,1,132,298
