R,G,B
7,2,6
8,3,7
8,3,7
8,3,7
5,3,6
4,2,3
4,3,1
4,3,0
3,4,0
4,5,0
3,1,4
3,1,4
4,2,5
4,2,5
5,3,6
6,4,7
6,4,7
6,4,7
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
6,4,5
6,4,5
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
1,0,0
2,0,1
4,2,3
5,3,4
6,4,5
7,5,6
7,5,6
7,5,6
3,1,2
4,2,3
5,3,4
4,2,3
3,1,2
3,1,2
4,2,3
5,3,4
4,4,2
4,4,2
5,4,2
5,4,2
5,4,2
5,4,2
7,3,2
7,3,2
6,2,1
6,2,1
7,1,1
7,1,1
7,1,1
7,1,1
9,0,1
7,1,1
5,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
2,2,2
1,2,4
0,3,4
0,3,4
0,3,4
1,2,4
2,4,3
3,3,3
5,4,2
10,5,1
12,3,0
16,3,0
23,6,0
27,7,0
28,6,0
33,7,0
38,9,0
45,6,0
52,9,0
58,13,0
64,16,0
69,18,0
76,21,0
82,26,1
89,29,3
89,28,0
93,32,1
99,36,1
103,41,4
105,43,4
107,45,4
109,48,4
111,50,6
113,52,8
114,51,8
114,51,8
116,51,9
116,51,9
116,52,8
117,53,9
117,52,10
115,50,8
113,48,8
109,45,7
105,43,6
100,41,5
99,40,8
99,40,10
95,42,10
86,40,7
80,37,3
78,35,3
77,33,4
73,29,2
66,24,0
63,21,0
63,22,4
56,17,2
51,15,1
44,12,1
38,10,0
37,10,1
33,11,2
28,8,1
24,7,0
15,4,0
12,4,1
11,3,1
10,2,0
10,1,2
8,2,4
9,3,5
9,3,7
9,3,7
9,3,5
8,2,4
6,2,1
6,2,0
7,4,0
8,5,0
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
5,3,6
5,3,6
5,3,6
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
2,0,1
3,1,2
3,1,2
4,2,3
5,3,4
5,3,4
6,4,5
6,4,5
4,2,3
5,3,4
5,3,4
4,2,3
2,0,1
2,0,1
4,2,3
6,4,5
3,3,1
3,3,1
4,3,1
4,3,1
4,3,1
4,3,1
6,2,1
6,2,1
7,3,2
6,2,1
7,1,1
6,0,0
6,0,0
7,1,1
9,0,1
8,2,2
5,1,2
3,1,2
2,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
2,2,2
1,2,4
0,3,4
1,2,4
2,4,3
4,4,4
7,6,4
11,6,3
14,7,0
20,8,0
23,6,0
28,9,0
37,14,0
44,17,0
48,17,0
52,20,0
62,22,0
73,23,0
81,25,0
88,31,2
95,34,5
100,37,6
106,40,6
115,45,9
123,49,10
126,51,9
132,55,11
138,62,13
143,66,14
146,69,15
148,71,15
150,74,16
151,75,17
155,80,22
155,80,22
156,80,22
157,81,23
159,80,21
159,80,21
160,81,22
160,81,22
156,77,20
155,76,20
150,73,19
146,70,18
142,69,18
138,67,19
137,66,20
133,66,21
123,62,17
116,60,13
112,55,10
107,52,11
102,46,9
94,40,6
89,36,5
87,36,9
78,30,8
71,26,7
62,20,4
56,18,5
51,17,5
46,16,5
41,13,2
34,11,3
23,8,1
19,8,2
17,6,2
15,5,3
13,3,2
13,3,4
13,3,4
12,3,4
12,3,4
9,3,3
8,2,2
7,2,0
6,2,0
7,4,0
8,5,0
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
3,1,4
3,1,4
3,1,4
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
2,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
5,3,4
5,3,4
3,1,2
2,0,1
2,0,1
4,2,3
6,4,5
3,3,3
3,3,3
3,3,3
3,3,3
4,2,3
4,2,3
4,2,3
4,2,3
7,3,4
7,3,4
5,1,2
5,1,2
6,1,2
6,0,2
8,2,4
8,2,4
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
4,1,2
3,1,2
4,4,4
4,4,4
5,3,4
9,5,4
12,7,4
17,7,5
23,9,6
27,10,3
37,14,6
40,14,1
48,17,0
59,24,4
67,29,6
73,31,6
79,35,6
89,38,7
101,41,5
111,46,6
120,53,11
127,56,14
131,56,14
138,60,14
147,67,18
154,71,19
158,73,18
163,77,18
171,83,20
177,88,22
180,92,21
181,93,21
183,95,21
185,97,23
189,103,28
187,104,28
189,102,26
189,103,26
191,104,27
191,104,27
194,104,28
194,104,28
187,99,25
186,98,26
183,96,25
179,94,27
175,92,26
170,89,24
166,86,23
163,84,25
153,81,22
146,77,20
141,72,17
135,68,15
128,60,11
118,51,8
111,46,8
109,46,13
101,41,13
91,37,13
80,29,8
73,26,10
67,25,11
60,22,11
54,17,8
44,14,4
33,14,7
28,15,7
26,13,7
22,10,4
21,7,4
18,7,5
17,5,5
16,6,7
13,3,4
11,3,1
10,2,0
10,2,0
10,2,0
8,3,0
9,4,0
5,3,6
5,3,6
4,2,5
4,2,5
3,1,4
2,0,3
2,0,3
2,0,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,2
2,0,1
2,0,1
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,3,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
5,3,4
5,3,4
5,3,4
3,1,2
2,0,1
2,0,1
4,2,3
7,5,6
2,2,2
2,2,2
2,2,2
2,2,2
3,1,2
3,1,2
3,1,2
3,1,2
9,4,5
7,3,4
5,1,2
4,0,1
5,0,1
6,0,2
8,2,4
9,3,5
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
9,5,6
9,5,4
11,5,5
15,5,4
21,7,6
27,9,5
34,10,6
39,12,3
51,19,8
56,19,3
65,22,3
77,31,7
87,38,8
94,41,9
100,46,12
109,49,12
121,54,9
131,59,9
139,66,15
146,69,17
151,70,15
158,73,16
166,80,19
175,85,22
177,86,16
182,90,17
189,96,19
196,101,21
200,104,20
202,106,20
203,107,20
204,110,22
206,115,26
205,116,26
207,116,25
207,116,25
209,115,25
210,116,26
211,116,26
211,115,28
205,111,24
204,109,24
201,109,26
198,107,26
194,104,26
188,101,24
183,97,22
179,95,23
172,92,23
166,87,20
159,81,15
154,76,14
144,67,11
133,57,7
125,52,7
121,52,11
114,48,14
103,42,13
92,34,12
83,31,10
76,29,13
69,25,12
62,20,8
50,16,6
42,20,9
36,19,11
33,16,8
28,13,6
25,10,5
23,9,6
22,8,7
19,7,7
14,2,2
13,3,2
11,3,0
10,2,0
10,3,0
11,4,0
10,6,0
3,1,4
3,1,4
3,1,4
4,2,5
4,2,5
5,3,6
5,3,6
5,3,6
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
2,0,1
3,1,2
5,3,4
6,4,5
6,4,5
5,3,4
3,1,2
2,0,1
6,4,5
6,4,5
6,4,5
5,3,4
5,3,4
4,2,3
4,2,3
4,2,3
3,3,3
2,4,2
3,3,3
3,3,3
3,3,3
3,3,3
4,2,3
4,2,3
5,3,4
5,3,4
7,3,4
7,3,5
7,3,4
7,3,4
7,3,4
7,3,4
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
6,1,3
7,1,3
8,2,4
9,3,5
9,3,5
10,4,6
11,5,7
10,5,7
13,3,4
14,2,2
16,2,2
22,4,4
29,8,5
38,10,7
45,12,5
51,11,3
63,17,4
74,25,8
89,35,11
98,38,10
104,41,8
110,44,9
120,52,15
130,59,15
135,64,10
143,68,10
151,75,15
158,78,17
162,81,16
168,83,16
176,88,17
183,91,18
194,101,23
199,102,21
205,107,20
209,111,20
214,115,21
217,119,22
219,121,22
219,123,21
219,126,23
218,126,23
220,127,24
220,127,24
222,126,24
221,125,23
220,124,24
219,123,23
219,122,25
217,120,25
212,117,25
208,114,24
204,112,25
199,109,23
193,104,20
189,100,20
181,94,17
178,92,19
172,88,16
168,83,16
161,77,15
150,69,13
139,61,12
130,56,11
121,49,11
114,49,16
105,43,18
95,37,17
85,32,16
79,30,15
72,24,12
59,21,10
46,19,8
38,20,10
36,17,10
33,16,9
31,13,9
28,13,10
27,11,11
26,12,11
21,9,9
21,9,9
17,6,5
13,3,1
12,5,0
14,7,1
11,6,0
3,1,4
3,1,4
3,1,4
4,2,5
4,2,5
5,3,6
5,3,6
5,3,6
4,2,3
4,2,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
2,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
2,1,2
3,1,2
5,3,4
5,3,4
5,3,4
5,3,4
3,1,2
3,1,2
6,4,5
6,4,5
4,3,4
5,3,4
5,3,4
4,2,3
4,2,3
3,3,3
2,4,3
2,4,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,2,3
5,3,4
5,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
8,2,4
9,3,5
10,4,6
10,4,6
11,5,7
13,4,5
21,7,7
24,6,6
26,6,7
34,8,7
41,11,9
50,15,11
59,16,9
64,16,6
72,19,5
85,27,7
99,35,10
109,40,9
115,42,7
120,46,7
